model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
hierarchical,1,0.25,0.1,0.05,1.0,0.17970010028217592,0.06719951888956702,0.14285709823053455,1.0,604.4245224274703
hierarchical,1,0.25,1.0,0.05,1.0,0.17970224244668417,0.06720028348812845,0.14285757652463915,1.0,604.4245224280287
hierarchical,1,0.5,0.1,0.05,1.0,0.17968815327491053,0.06719535446716966,0.14285603990250353,1.0,604.4245224388717
hierarchical,1,0.5,1.0,0.05,1.0,0.6891916420539682,0.17204001347831072,0.14285764165888004,1.0,650.0094720676891
hierarchical,1,0.75,0.1,0.05,1.0,0.6891847276703029,0.1720390038940038,0.14285677526220564,1.0,650.0094720655892
hierarchical,1,0.75,1.0,0.05,1.0,0.17970096675789451,0.06719982999053181,0.14285711760644973,1.0,604.4245224273653
hierarchical,2,0.25,0.1,0.05,1.0,0.4460472494169959,0.17750701204823333,0.3228346397711832,1.0,1038.3025562932135
hierarchical,2,0.25,1.0,0.05,1.0,0.44604849144880127,0.17750730321032668,0.3228346386777321,1.0,1038.3025562931962
hierarchical,2,0.5,0.1,0.05,1.0,0.446044022096633,0.17750622243672382,0.32283425776184477,1.0,1038.3025562955272
hierarchical,2,0.5,1.0,0.05,1.0,0.4460504304608653,0.17750803395666448,0.3228349310829205,1.0,1038.3025562948924
hierarchical,2,0.75,0.1,0.05,1.0,0.4460473798141962,0.17750714644740065,0.32283489070174426,1.0,1038.302556293301
hierarchical,2,0.75,1.0,0.05,1.0,0.446049133218261,0.17750802713733801,0.32282947577671384,1.0,1038.3025563574188
hierarchical,3,0.25,0.1,0.05,1.0,0.4480698587865906,0.20388307362715521,0.482994558113896,1.0,1411.9735998714498
hierarchical,3,0.25,1.0,0.05,1.0,0.4480710201724229,0.2038829961519146,0.4829931115279814,1.0,1411.973599865956
hierarchical,3,0.5,0.1,0.05,1.0,0.44807129843790533,0.20388300681039975,0.4829931943364239,1.0,1411.9735998659237
hierarchical,3,0.5,1.0,0.05,1.0,0.4480713329175522,0.20388268058793532,0.48299303731364834,1.0,1411.973599866564
hierarchical,3,0.75,0.1,0.05,1.0,0.4480730569615042,0.2038836059995771,0.48299315156692546,1.0,1411.973599867802
hierarchical,3,0.75,1.0,0.05,1.0,0.44807171199054785,0.20388312171984935,0.4829931063732129,1.0,1411.9735998660535
hierarchical,4,0.25,0.1,0.05,1.0,0.4513612594140069,0.14463663678549607,0.26582463321611893,1.0,842.3144527437721
hierarchical,4,0.25,1.0,0.05,1.0,0.45136234424245825,0.14463595011753397,0.26582282051742256,1.0,842.3144527321592
hierarchical,4,0.5,0.1,0.05,1.0,0.4513611464681615,0.1446359726354219,0.26582195045468,1.0,842.3144527338923
hierarchical,4,0.5,1.0,0.05,1.0,0.45136167102170727,0.14463617106948704,0.2658228971088886,1.0,842.3144527324996
hierarchical,4,0.75,0.1,0.05,1.0,0.4513610552215102,0.1446357691209797,0.2658227708430447,1.0,842.3144527320266
hierarchical,4,0.75,1.0,0.05,1.0,0.45136152000403335,0.14463575268420803,0.2658229316200491,1.0,842.314452732128
hierarchical,5,0.25,0.1,0.05,1.0,0.5176723118666042,0.22401094643843764,0.4317752596518334,1.0,1269.2656158752277
hierarchical,5,0.25,1.0,0.05,1.0,0.5176740390085112,0.22401091465751372,0.43177564380177896,1.0,1269.2656158741354
hierarchical,5,0.5,0.1,0.05,1.0,0.5176736227609372,0.22401100026388582,0.43177574825432674,1.0,1269.2656158740958
hierarchical,5,0.5,1.0,0.05,1.0,0.5176737870924647,0.22401098026258792,0.4317756145081847,1.0,1269.2656158740872
hierarchical,5,0.75,0.1,0.05,1.0,0.5176731810969396,0.22401091518456506,0.43177573226449956,1.0,1269.2656158741597
hierarchical,5,0.75,1.0,0.05,1.0,0.5176733207953784,0.22401075835002066,0.43177569514287284,1.0,1269.2656158742177
hierarchical,6,0.25,0.1,0.05,1.0,0.3020255803990106,0.12092860579096483,0.2084200919150096,1.0,765.4022918170627
hierarchical,6,0.25,1.0,0.05,1.0,0.3020222232752666,0.1209269290976768,0.20842136756380583,1.0,765.4022918153382
hierarchical,6,0.5,0.1,0.05,1.0,0.3020134850981689,0.12092419122450174,0.20841979001324654,1.0,765.402291824012
hierarchical,6,0.5,1.0,0.05,1.0,0.30201746520523376,0.120925550533516,0.2084199465092448,1.0,765.4022918184064
hierarchical,6,0.75,0.1,0.05,1.0,0.3020105875139522,0.12092661336465248,0.20842394309724466,1.0,765.4022918808862
hierarchical,6,0.75,1.0,0.05,1.0,0.3020246685036846,0.1209283548743119,0.2084202117381922,1.0,765.40229181567
hierarchical,7,0.25,0.1,0.05,1.0,0.5455099686021587,0.23494558145486996,0.7411766410393299,0.9847240198399791,1541.376753751887
hierarchical,7,0.25,1.0,0.05,1.0,0.5455098693879533,0.2349461680380868,0.7411764973884098,0.984723129890529,1541.3767537507888
hierarchical,7,0.5,0.1,0.05,1.0,0.5455104632636327,0.23494555076347515,0.741175708170196,0.9847282438328119,1541.3767537561064
hierarchical,7,0.5,1.0,0.05,1.0,0.5455231655618304,0.2349469089576808,0.7411721191725319,0.9847292946897441,1541.3767539156577
hierarchical,7,0.75,0.1,0.05,1.0,0.545513571567213,0.23494652118864592,0.7411779061488902,0.9847260568378235,1541.3767537654464
hierarchical,7,0.75,1.0,0.05,1.0,0.5455074794294407,0.23494521014479627,0.7411819032406274,0.9847156046888035,1541.37675388098
hierarchical,8,0.25,0.1,0.05,1.0,0.26955151870525834,0.1343252291903562,0.2936151690255188,1.0,994.4385637696481
hierarchical,8,0.25,1.0,0.05,1.0,0.5112237644032515,0.1857575867296717,0.29363451664030277,1.0,992.2497500076809
hierarchical,8,0.5,0.1,0.05,1.0,0.5112246595772602,0.18575773495524853,0.293634127498005,1.0,992.2497500082231
hierarchical,8,0.5,1.0,0.05,1.0,0.5112200302272848,0.1857577017973713,0.2936345595054587,1.0,992.2497500111449
hierarchical,8,0.75,0.1,0.05,1.0,0.511230898115122,0.18575695769700337,0.2936321445403544,1.0,992.2497500429282
hierarchical,8,0.75,1.0,0.05,1.0,0.5112233236909949,0.18575758401508544,0.29363462603294,1.0,992.2497500076939
hierarchical,9,0.25,0.1,0.05,1.0,0.45149657897388196,0.12598177401701502,0.16397115875981244,1.0,593.4511580846994
hierarchical,9,0.25,1.0,0.05,1.0,0.45146867527624435,0.12597741881644434,0.16397140861911066,1.0,593.4511580853857
hierarchical,9,0.5,0.1,0.05,1.0,0.4514743055040843,0.1259772080772146,0.163971894166814,1.0,593.4511580776954
hierarchical,9,0.5,1.0,0.05,1.0,0.45148047243602285,0.12597848657698843,0.1639719742441997,1.0,593.4511580747246
hierarchical,9,0.75,0.1,0.05,1.0,0.4514830626578421,0.12597904892911146,0.16397242325737468,1.0,593.4511580741648
hierarchical,9,0.75,1.0,0.05,1.0,0.45140450113286956,0.1259672091371052,0.1639718990317128,1.0,593.4511582797311
hierarchical,10,0.25,0.1,0.05,1.0,0.27967087313121114,0.18762157676758232,0.5616046511856561,1.0,1766.3658386601853
hierarchical,10,0.25,1.0,0.05,1.0,0.2796743395436613,0.18762271216868817,0.5616036639408738,1.0,1766.3658386633651
hierarchical,10,0.5,0.1,0.05,1.0,0.2796729881277244,0.18762231964791165,0.5616027270517028,1.0,1766.3658386696266
hierarchical,10,0.5,1.0,0.05,1.0,0.2796735499859788,0.18762258734913126,0.5616036966379357,1.0,1766.3658386622938
